mean_SFR mean_SFR_spi mean_SFR_ell mean_SSFR mean_SSFR_spi mean_SSFR_ell mean_e mean_e_spi mean_e_ell std_e std_e_spi std_e_ell split_fracs
9.443688e-01 1.271196e+00 1.478987e-01 2.792439e-10 3.927673e-10 2.590202e-12 2.027045e-01 2.128677e-01 1.779370e-01 1.867929e-01 1.838419e-01 1.915514e-01 4.103448e-01
2.023616e-01 3.145602e-01 1.421311e-02 1.799548e-10 2.862339e-10 1.732933e-12 2.228258e-01 2.206174e-01 2.265292e-01 2.193316e-01 2.038952e-01 2.429813e-01 5.963303e-01
1.014438e-01 2.978645e-01 6.594320e-03 6.417875e-11 1.934081e-10 1.775243e-12 1.808461e-01 1.655511e-01 1.882319e-01 1.947388e-01 1.466999e-01 2.137199e-01 2.070866e+00
7.039132e-01 7.803683e-01 1.132974e-01 4.935100e-10 5.569203e-10 3.665371e-12 2.675707e-01 2.702389e-01 2.469589e-01 2.331852e-01 2.383518e-01 1.872844e-01 1.294498e-01
8.987994e-01 1.105004e+00 1.074182e-01 5.773269e-10 7.270616e-10 2.669691e-12 2.863411e-01 2.649880e-01 3.682909e-01 2.753867e-01 2.460004e-01 3.552098e-01 2.605634e-01
1.842676e-01 2.609225e-01 9.056245e-03 1.503332e-10 2.150571e-10 2.392631e-12 2.306411e-01 2.217677e-01 2.509232e-01 1.885653e-01 1.794660e-01 2.064460e-01 4.375000e-01
1.705188e-01 3.120047e-01 1.098319e-02 1.272249e-10 2.375653e-10 2.808128e-12 2.200779e-01 2.007064e-01 2.419207e-01 2.035245e-01 1.442647e-01 2.525096e-01 8.868613e-01
3.165111e-01 5.158548e-01 1.243968e-02 1.682631e-10 2.775149e-10 1.614565e-12 1.964247e-01 1.804662e-01 2.207672e-01 2.178319e-01 1.525209e-01 2.887306e-01 6.555819e-01
1.130765e-01 4.235479e-01 4.188586e-03 6.083924e-11 2.296965e-10 1.617969e-12 2.108805e-01 1.627227e-01 2.277704e-01 2.716061e-01 1.412373e-01 3.025683e-01 2.851293e+00
2.006097e-01 3.868138e-01 4.843742e-03 1.385891e-10 2.681160e-10 2.410789e-12 1.731552e-01 1.710998e-01 1.753160e-01 1.713450e-01 1.413325e-01 1.980307e-01 9.511568e-01
9.820782e-02 3.988865e-01 3.147893e-03 5.372952e-11 2.181888e-10 1.735526e-12 1.684131e-01 1.617224e-01 1.705284e-01 1.777776e-01 1.419482e-01 1.876378e-01 3.163043e+00
4.767222e-02 1.594489e-01 3.368012e-03 4.731475e-11 1.627021e-10 1.579384e-12 2.201491e-01 2.274771e-01 2.172446e-01 2.045988e-01 1.885155e-01 2.105634e-01 2.522936e+00
